,smiles,actual,predicted
1371,CCCSP(=S)(OC)SCCC,4.184,4.103331
1372,CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,2.596,3.5388813
1373,CCCSP(=S)(OCC)Oc1ccc(SC)cc1,3.696,3.003291
1374,CCCSP(C)(=O)SCCC,5.077,4.8884344
1375,CCCSP(C)(=S)Oc1cccc2sccc12,3.782,3.0038457
1376,CCCSP(C)(=S)Oc1ccc(Cl)cc1Cl,3.248,2.9157135
1377,CCCSP(C)(=S)Oc1ccccc1,3.073,3.254235
1378,CCCSP(C)(=S)OP(C)(=S)SCCC,3.696,4.3409777
1379,CCCSP(C)(=S)SC(CC(=O)OCC)C(=O)OCC,2.714,3.2510576
1380,CCCSP(C)(=S)SCC(=O)OCC,3.103,3.3026187
1381,CCCSP(C)(=S)SCCC,4.103,4.4023924
1382,CCl,1.448,1.4224645
1383,CCN,2.052,1.8884425
1384,CC[N+](=O)[O-],1.834,2.2237947
1385,CC=CC(=O)N(CC)c1ccccc1C,2.132,2.1054444
1386,CCN(C)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,3.678,2.8727999
1387,CCN(C)N=O,2.991,2.7287865
1388,C=CN(CC)C(C)=O,1.663,1.4577012
1389,C=CN(CC)N=O,3.056,2.4247901
1390,CCN(C(=O)c1cc(Cl)nc(Cl)c1)C1CC1,3.521,2.831862
1391,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1.523,2.1544416
1392,CCN(CC(F)(F)F)N=O,2.211,2.408004
1393,CC#CN(CC)CC,2.122,2.7043157
1394,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,1.735,1.8039027
1395,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,4.574,4.4844184
1396,CCN(CC)C(=O)c1nnn(-c2ccccc2)c1C,2.713,2.1604714
1397,CCN(CC)C(=O)c1ccc(O)c(OC)c1,3.161,2.769858
1398,CCN(CC)C(=O)c1ccc(C)cc1,1.92,2.1087933
1399,CCN(CC)C(=O)c1cccc(C)c1,1.992,2.1852982
1400,CCN(CC)C(=O)c1ccccc1,1.948,1.97641
1401,CCN(CC)C(=O)c1ccccc1C,2.199,2.0685976
1402,CCN(CC)C(=O)c1ccccc1O,2.523,2.5248098
1403,C=CCOc1ccccc1C(=O)N(CC)CC,2.856,2.5244355
1404,CCN(CC)C(=O)CCl,2.476,2.3997173
1405,CCN(CC)C(=O)SCc1ccc(Cl)cc1,2.297,2.136773
1406,CCN(CC)C(=S)Sc1nc2ccccc2s1,1.673,2.4724286
1407,C=C(Cl)CSC(=S)N(CC)CC,2.42,2.824489
1408,CCN(CC)C(=S)SSC(=S)N(CC)CC,2.773,2.5197816
1409,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,2.264,2.5619729
1410,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],2.031,2.5195606
1411,CCN(CC)c1cccc(OC(=O)NC)c1,3.388,3.5269456
1412,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,1.665,2.1115692
1413,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,2.482,2.7086613
1414,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,2.156,2.0211232
1415,CCN(CC)c1nc(NC(C)C)nc(OC)n1,2.432,2.4228435
1416,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,2.388,3.1915405
1417,CCN(CC)CC,2.342,2.0483627
1418,C#CCN(CC)CC,1.859,2.558588
1419,CCN(CC)CC(=O)Nc1c(C)cccc1C,2.869,2.4632828
1420,CCN(CC)CC1CO1,2.488,2.1512756
1421,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2.986,2.3684504
1422,CCN(CC)CCCl,3.902,4.0353165
1423,CCN(CC)CCCN,1.965,2.1408274
1424,CCN(CC)CCN,1.613,2.1288338
1425,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,2.688,2.3155403
1426,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,2.8,1.8471259
1427,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,2.602,2.117855
1428,CCN(CC)CCNC(=O)c1ccc(N)cc1,2.082,2.6799471
1429,CCN(CC)CCNC(=O)COc1ccc(Cl)cc1,2.437,2.6227386
1430,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,2.561,2.149475
1431,CCN(CC)CCO,1.955,1.8439686
1432,C=C(C)C(=O)OCCN(CC)CC,1.596,1.8290163
1433,C=CC(=O)OCCN(CC)CC,2.347,2.4284441
1434,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,2.34,2.6289804
1435,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,3.263,3.0400758
1436,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,3.347,2.5168629
1437,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,2.948,2.8793716
1438,CCN(CC)CCSC(=S)N1c2ccccc2Sc2ccccc21,2.273,3.0159667
1439,C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,2.345,2.4502861
1440,CCN(CC)N=Nc1ccccc1,2.533,2.3019943
1441,CCN(CC)N=Nc1cccnc1,2.929,2.9703288
1442,CCN(CC)N=O,2.562,2.550798
1443,CCN(CC)S(=O)(=O)c1ccccc1,2.38,2.303585
1444,CCN(CCCl)CCCl,4.833,4.1136017
1445,CCN(CCO)C(=S)NP(=S)(OC)OC,4.205,3.4459698
1446,CCN(CCOC(C)=O)C(C)=O,0.916,2.1392226
1447,CCN(N=O)C(=O)NC(N)=O,2.183,2.9514623
1448,CCN(N=O)C(N)=O,2.591,2.4723437
1449,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,2.301,2.2542915
1450,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1.542,1.7934542
1451,CCN1CCOCC1,1.811,1.733213
1452,CCN1CN(CC)CN(CC)C1,2.734,1.792054
1453,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1.8,2.3149168
1454,CCNC(=O)C(C)OC(=O)Nc1ccccc1,1.332,2.0674016
1455,CCNC(=O)C(Cl)=C(C)OP(=O)(OC)OC,3.866,4.151721
1456,CCNC(=O)C(SP(=S)(OC)OC)C(=O)NCC,2.497,3.1381912
1457,CCNC(=O)CC(C)=O,0.959,1.9085575
1458,CCNC(=O)CSP(=S)(OC)OC,3.289,3.2932448
1459,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,2.002,2.2387826
1460,CCNC(=O)OCCSCSP(=S)(OC)OC(C)C,4.611,4.0608864
1461,CCNC(=S)NCC,2.622,2.6647527
1462,CCNC(C)c1ccccc1,2.618,2.237171
1463,CCNC(C)Cc1cccc(C(F)(F)F)c1,3.25,3.2360222
1464,CCNC(N)=S,3.018,3.1429062
1465,CCNc1nc(Cl)nc(N(CC)CC)n1,2.587,2.4457827
1466,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,3.208,2.4686573
1467,CCNc1nc(Cl)nc(NC(C)(C)C)n1,2.095,2.4045787
1468,CCNc1nc(Cl)nc(NC(C)C)n1,2.506,2.2683358
1469,CCNc1nc(NC(C)CC)nc(OC)n1,2.353,2.3531332
1470,CCNc1nc(Cl)nc(NCC)n1,2.317,2.2994602
1471,CCNc1nc(NC(C)(C)C)nc(OC)n1,2.67,2.5666406
1472,CCNc1nc(NC(C)C)nc(OC)n1,2.159,2.2135904
1473,CCNc1nc(NCC)nc(OC)n1,2.567,2.462747
1474,CCNc1nc(NC(C)(C)C)nc(SC)n1,2.072,2.3867502
1475,CCNc1nc(NC(C)C(C)C)nc(SC)n1,1.93,2.000009
1476,CCNc1nc(NC(C)C)nc(SC)n1,2.651,2.0491683
1477,CCNc1nc(NCC)nc(SC)n1,2.454,2.273375
1478,CCNC1C2CCC(C2)C1c1ccccc1,3.414,2.5585515
1479,CCNC1CCCCC1,2.334,2.1688368
1480,CCNCC,2.132,2.062438
1481,CCNCC(O)c1cccc(O)c1,3.201,2.666083
1482,CCNCCO,1.95,1.7829068
1483,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,3.574,2.085686
1484,CCO,0.815,1.427153
1485,CCO[Si](C)(C)CCl,1.993,2.4244182
1486,CCO[Si](C)(C)OCC,1.204,1.5307143
1487,CCO[Si](C)(CCCC#N)OCC,1.732,1.80087
1488,CCO[Si](C)(CCCN)OCC,1.604,1.7635413
1489,CCO[Si](C)(CCl)OCC,2.148,2.3212893
1490,CCO[Si](C)(OCC)OCC,1.055,1.4671434
1491,CCO[Si](CC)(OCC)OCC,1.138,1.4513862
1492,CCO[Si](CCC#N)(OCC)OCC,1.587,1.8078147
1493,CCO[Si](CCCC#N)(OCC)OCC,1.672,1.4983416
1494,CCO[Si](CCCCN)(OCC)OCC,2.162,1.6034003
1495,CCO[Si](CCCN)(OCC)OCC,2.095,1.7216028
1496,CCO[Si](CCl)(OCC)OCC,1.948,1.9917191
1497,CCO[Si](CCP(=O)(OCC)OCC)(OCC)OCC,1.281,2.6071246
1498,C=C[Si](OCC)(OCC)OCC,0.918,1.6864657
1499,CCO[Si](OCC)(OCC)OCC,1.521,1.8092786
1500,CCO[SiH](Cl)OCC,1.39,1.9297711
1501,C=C(CO)C(=O)OCC,2.322,1.7010319
1502,CCOC(=O)C(=O)OCC,2.563,1.7366822
1503,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,2.412,2.048406
1504,C=C(C)C(=O)OCC,0.887,1.4340221
1505,CCOC(=O)C(C)C[Si](C)(OCC)OCC,1.004,2.113428
1506,CCOC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(Cl)c(Cl)c1,2.373,2.480885
1507,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,2.687,2.9004354
1508,CCOC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(N(CCCl)CCCl)cc1)NC(C)=O,3.856,2.81763
1509,C=CCC(CCN(CC)CC)(C(=O)OCC)c1ccccc1,3.181,2.3463755
1510,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.667,2.3068588
1511,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,3.441,3.8885188
1512,C=CC(=O)OCC,2.097,2.0288393
1513,CCOC(=O)C=C(C)OP(=O)(OCC)OCC,4.083,4.0044622
1514,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,1.443,1.6818401
1515,CC=CC(=O)OCC,1.58,1.5961772
1516,CCOC(=O)C=CC(=O)OCC,1.986,1.4385767
1517,CCOC(=O)C=CC(=O)OCC1CO1,2.092,1.7470683
1518,CCOC(=O)C=Cc1ccccc1,1.644,1.7767801
1519,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,2.867,2.7483804
1520,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.184,2.67659
1521,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,3.311,3.0168128
1522,CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1,3.428,2.8964512
1523,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,1.37,2.0029361
1524,CCOC(=O)c1ccccc1N,1.644,1.5216384
1525,CCOC(=O)c1ccccc1O,2.1,1.8627398
1526,CCOC(=O)c1cnc2cc(OCC3CC3)c(OCC3CC3)cc2c1O,2.076,1.9775571
1527,CCOC(=O)c1ccccc1,1.854,1.6971713
1528,CCOC(=O)c1ccccc1C(=O)OCC,1.412,1.6462673
1529,CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,3.234,3.4189982
1530,CCOC(=O)C1CC2C=CC1C2,1.588,1.8641728
1531,CCOC(=O)C1CC2CC1C1OC21,1.583,1.7790407
1532,CCOC(=O)C1CCc2cc(C3CCCCC3)ccc21,2.866,2.6524918
1533,CCOC(=O)C1CCCCC1C(=O)OCC,1.767,1.4980472
1534,CCOC(=O)C1OC1(C)c1ccccc1,1.576,1.9796944
1535,CCOC(=O)CC(=O)OCC,1.028,1.3741553
1536,CCOC(=O)CC(C)=O,1.515,1.6042439
1537,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.671,1.7083566
1538,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,3.299,3.0854526
1539,CCOC(=O)CC(SP(=O)(OC)SC)C(=O)OCC,3.466,3.4705985
1540,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,3.057,3.2510724
1541,CCOC(=O)CC[Si](C)(OCC)OCC,1.052,1.6987714
1542,CCOC(=O)CC[Si](OCC)(OCC)OCC,1.072,1.6950445
1543,CCOC(=O)Cc1ccccc1,1.697,1.7238352
1544,CCOC(=O)CCC#N,1.091,1.6494818
1545,CCOC(=O)CCC(=O)OCC,1.31,1.61527
1546,CCOC(=O)CCC[Si](C)(OCC)OCC,1.045,1.2970502
1547,CCOC(=O)CCC=O,1.12,1.5088036
1548,CCOC(=O)CCCCCC#N,1.179,1.5986612
1549,CCOC(=O)CCCCCCCCC(=O)OCC,1.252,1.3487047
1550,CCOC(=O)CCCCCCl,1.56,1.9970334
1551,CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,2.132,2.1629584
1552,CCOC(=O)COP(=S)(OCC)OCC,2.409,2.821052
1553,CCOC(=O)CSP(=O)(OC)OC,2.773,3.0556195
1554,CCOC(=O)CSP(=O)(OCC)OCC,3.755,3.6423838
1555,CCOC(=O)CSP(=S)(OCC)OCC,2.394,3.1310573
1556,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,4.026,3.7790158
1557,CCOC(=O)N(C)N=O,2.866,2.531699
1558,CCOC(=O)N(c1cccc(C(=O)c2ccccc2)c1)S(=O)(=O)C(F)(F)F,1.931,2.491859
1559,CCOC(=O)N(Cc1ccccc1)C1CC1,2.201,2.1296506
1560,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,1.495,2.1819928
1561,CCOC(=O)Nc1ccco1,1.893,2.1654248
1562,CCOC(=O)NCCSP(=S)(OC)OC,3.403,4.2575045
1563,CCOC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.841,2.2645004
1564,CCOC(=S)SCSSCP(=O)(OCC)OCC,4.399,4.8306913
1565,CCOC(=S)SSSC(=S)OCC,3.067,3.16518
1566,CCOC(=S)SSSSC(=S)OCC,3.047,3.000257
1567,CCOC(C(=N)N1CCCC1)c1ccccc1,2.667,2.4378934
1568,CCOC(C)=O,1.195,1.5244606
1569,CCOC(C)CC(OCC)OCC,1.587,1.6994077
1570,CCOC(C)CO,1.327,1.6973536
1571,CCOC(C)COC(C)CO,1.641,1.7186178
1572,CCOC(C)OCC,1.41,1.8222302
1573,CCOC(C1=NCC(C)(C)N1)c1ccc(Cl)c(Cl)c1,3.437,2.906279
1574,CCOC(C1=NCC(C)(C)CN1)c1ccccc1,2.45,2.8043466
1575,CCOC(C1=NCC(C)(CC)CN1)c1cccc(Cl)c1,3.525,2.7875838
1576,CCOC(C1=NCC(C)(CC)CN1)c1ccccc1,3.073,2.8516111
1577,CCOC(C1=NCC(CC)(CC)CN1)c1ccc(Cl)cc1,2.916,2.9016032
1578,CCOC(C1=NCC(CC)(CC)CN1)c1cccc(Cl)c1,3.448,2.8351645
1579,CCOC(C1=NCC(CC)(CC)CN1)c1ccccc1,3.04,2.8207352
1580,CCOC(C1=NCC(OC)CN1)c1ccccc1,2.453,2.5356953
1581,CCOC(C1=NCCCN1)c1cccc2ccccc12,2.855,3.1499398
1582,CCOC(C1=NCCCN1)c1ccccc1,2.152,2.565739
1583,CCOC(CC(OCC)OCC)OCC,2.136,2.1571643
1584,CCOC(O)C(Cl)(Cl)Cl,2.342,2.8704937
1585,C=COCC,1.069,1.2522496
1586,CC=COCC,1.267,1.9246341
1587,CCOC=CC(OCC)OCC,1.85,2.2603128
1588,CCOC=O,1.603,1.6648664
1589,CCOc1ccccc1C(N)=O,1.798,2.175094
1590,CCOc1c(N2CCOCC2)cnn(C)c1=O,2.1,2.314785
1591,CC=Cc1ccc(OCC)c(O)c1,1.871,1.8178077
1592,CCOc1cc(C=O)ccc1O,2.019,2.5267396
1593,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1.859,2.560456
1594,CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,2.103,1.9557543
1595,CCOc1cc(OP(=S)(OC)OC)nc(CC)n1,2.211,2.9898744
1596,CCOc1ccc(C2(c3ccc(OCC)cc3)CC2(Cl)Cl)cc1,2.668,2.3537216
1597,CCOc1ccc(C=O)cc1,1.854,1.9033866
1598,CCOc1ccc(N)cc1,2.374,2.310592
1599,CCOc1ccc(NC(C)=O)cc1,1.697,2.1054356
1600,CCOc1ccc2cc(S(=O)(=O)O)ccc2c1N,1.348,2.034548
1601,CCOc1ccc2ccccc2c1,1.743,2.1073403
1602,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,2.588,2.4844437
1603,CCOc1ccccc1OCC1CNCCO1,2.074,2.127422
1604,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,2.434,2.3728628
1605,CCOc1nc(C(Cl)(Cl)Cl)ns1,2.361,2.4055798
1606,CCOc1nn(CSP(=S)(OC)OC)c(=O)s1,3.072,4.365004
1607,CCOC1CC(C)C=CO1,1.621,2.1446319
1608,CCOC1CC(C)CCO1,1.446,1.9053017
1609,CCOC1CCC=CO1,1.318,1.8063505
1610,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,2.404,2.655837
1611,CCOCC,1.785,1.8721995
1612,CCOCC(C)O,1.374,1.4979843
1613,CCOCC(Cl)C(OCC)OCC,2.203,2.2781634
1614,CCOCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.794,2.2588148
1615,CCOCCC(=O)OCC,1.466,2.233838
1616,CCOCCC(OCC)OCC,2.042,2.2912948
1617,CCOCCC=O,2.055,1.8057789
1618,CCOCCCCO,1.47,1.305879
1619,CCOCCCO,1.173,1.332486
1620,C=CC(=O)OCCCOCC,2.285,1.9568931
1621,CCOCCO,1.627,1.3170611
1622,C=CC(=O)OCCOCC,2.129,1.9367567
1623,CCOCCOC(C)=O,1.659,1.2677643
1624,CCOCCOc1ccc(Cl)cc1Cl,2.222,2.5146766
1625,CCOCCOCC,1.43,1.6058232
1626,CCOCCOCC(C)O,1.201,1.5216994
1627,CCOCCOCCO,1.387,1.2870358
1628,CCOCCOCCOC,1.358,1.7394139
1629,CCOCCOCCOC(C)=O,1.205,1.2919956
1630,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,2.174,2.0999558
1631,C=COCCOCCOCC,1.152,1.3486108
1632,CCOCCOCCOCC,1.514,1.8249544
1633,CCOCCOCCOCCO,1.225,1.2870358
1634,CCOCCOCCOCCOCCOCC,1.766,1.8249544
1635,CCON(CC)N=O,2.072,2.800539
1636,CCOP(=O)(CC)Oc1cc(C)nc(SCC)n1,3.764,3.8558946
1637,CCOP(=O)(CC)Sc1ccccc1,4.923,4.9682903
1638,CCOP(=O)(CC)SCSCSP(=O)(CC)OCC,5.334,5.2326794
1639,CCOP(=O)(CCCl)OCC,2.302,2.736245
1640,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,4.579,3.9029026
1641,CCOP(=O)(NC(C)C)SCC(=O)NCOC,3.454,3.7119396
1642,CCOP(=O)(OC=CCl)N(CC)CC,3.502,3.6713865
1643,CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.211,4.220607
1644,CCOP(=O)(OC=C(Cl)Cl)OCC(Cl)CCl,3.702,4.0594807
1645,C=C(OP(=O)(OC)OC)P(=O)(OCC)OCC,3.284,3.9392967
1646,CCOP(=O)(OCC)C(O)(C(F)F)C(F)F,4.897,4.3655877
1647,CCOP(=O)(OCC)C(SCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,4.825,4.3816075
1648,CCOP(=O)(OCC)C(SCC)(Sc1ccccc1)P(=O)(OCC)OCC,4.279,3.768268
1649,CCOP(=O)(N=C1SCC(C)S1)OCC,4.476,4.9592614
1650,CCOP(=O)(N=C1SCCS1)OCC,4.458,4.3101068
1651,CCOP(=O)(N=C1SCS1)OCC,4.71,4.123373
1652,C=C(OP(=O)(OCC)OCC)P(=O)(OC)OC,3.222,4.1832924
1653,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl,4.556,4.8597407
1654,CCOP(=O)(OCC)OC(C)=CC(=O)N(C)C,4.469,4.8583727
1655,CCOP(=O)(OCC)OC(C)=CC(=O)OC(C)c1ccccc1,3.722,3.9115036
1656,CCOP(=O)(OCC)OC(C)=CSC,5.205,4.449721
1657,CCOP(=O)(OCC)OC(=CCl)c1cc(Cl)ccc1Cl,4.012,4.110066
1658,CCOP(=O)(OCC)OC(=CC(=O)OC)CC(=O)OC,5.191,4.9799995
1659,CCOP(=O)(OC=C(Cl)Cl)OCC,4.998,4.9100556
1660,CCOP(=O)(OC=C(SCC)SCC)OCC,4.302,4.5254784
1661,CCOP(=O)(OC=CCl)OCC,4.486,4.681261
1662,CCOP(=O)(OC=CCSCC)OCC,5.229,4.9267244
1663,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.184,5.0493383
1664,CCOP(=O)(OCC)Oc1ccc(S(C)(=O)=O)cc1,4.789,4.6163116
1665,CCOP(=O)(OCC)Oc1ccc(SC)c(C)c1,4.509,4.340606
1666,CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.54,4.3636966
1667,CCOP(=O)(OCC)Oc1ccc2c(C)cc(=O)oc2c1,4.032,3.8099177
1668,CCOP(=O)(OCC)OCC,2.056,3.3583856
1669,CCOP(=O)(OCC)OCn1c(=O)oc2cc(Cl)ccc21,3.982,4.0166245
1670,CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O,3.698,3.5447247
1671,CCOP(=O)(OCC)OP(=O)(N(C)C)N(C)C,4.88,4.637403
1672,CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.764,3.8745797
1673,CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,4.859,4.167657
1674,CCOP(=O)(OCC)OP(=S)(CCl)OCC(C)C,3.789,4.05921
1675,CCOP(=O)(OCC)SC(Cl)=CCl,3.247,3.488703
1676,CCOP(=O)(OCC)SC(Cl)C(Cl)Cl,5.081,5.085164
1677,CCOP(=O)(OCC)SC(P(=O)(OCC)OCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,4.325,5.134928
1678,CCOP(=O)(OCC)SC=C(Cl)Cl,5.18,4.9921794
1679,CCOP(=O)(OCC)Sc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.656,3.5315588
1680,CCOP(=O)(OCC)Sc1ccc([N+](=O)[O-])cc1,4.82,4.8034306
1681,CCOP(=O)(OCC)SC1CCOC1=O,3.007,2.9948494
1682,CCOP(=O)(OCC)SC1CS(=O)CC1Cl,4.144,4.3492284
1683,C#CCSP(=O)(OCC)OCC,4.063,4.4672413
1684,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N,4.925,4.710181
1685,CCOP(=O)(OCC)SCC(C)(SCC)SCC,4.346,4.608815
1686,CCOP(=O)(OCC)SCC1(C)SCCS1,4.033,4.68987
1687,CCOP(=O)(OCC)SCc1ccccc1,2.596,3.943335
1688,CCOP(=O)(OCC)SCCN(CC)CC,4.912,5.338974
1689,CCOP(=O)(OCC)SCCS(=O)(=O)CC,5.184,5.4126506
1690,CCOP(=O)(OCC)SCCS(=O)CC,5.137,5.176252
1691,CCOP(=O)(OCC)SCCSCC,5.236,5.480468
1692,CCOP(=O)(OCC)SCN1C(=O)c2ccccc2C1=O,4.476,4.533309
1693,CCOP(=O)(OCC)SCS(=O)(=O)CC,5.742,5.4954567
1694,CCOP(=O)(OCC)SCS(=O)CC,5.415,5.4505916
1695,CCOP(=O)(OCC)SCSc1cc(Cl)ccc1Cl,3.978,3.8828413
1696,CCOP(=O)(OCC)SCSCC,5.99,5.260818
1697,CCOP(=O)(OP(=O)(OCC)N(C)C)N(C)C,4.366,4.4874043
1698,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,3.492,3.6550312
1699,CCOP(=S)(CC)Oc1cc(Cl)ccc1Cl,4.197,2.8252995
1700,CCOP(=S)(CC)Oc1cc(Cl)c(Br)cc1Cl,4.033,3.679267
1701,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.347,4.1231127
1702,CCOP(=S)(CC)Oc1ccc([N+](=O)[O-])c(C)c1,4.461,3.45578
1703,CCOP(=S)(CC)Oc1ccc(S(C)=O)cc1,5.068,3.864225
1704,CCOP(=S)(CC)Oc1ccc([N+](=O)[O-])cc1Cl,4.129,3.8039763
1705,CCOP(=S)(CC)Oc1ccc(Cl)cc1,3.445,3.7177887
1706,CCOP(=S)(CC)Oc1ccc(Cl)cc1Cl,4.078,2.965639
1707,CCOP(=S)(CC)Sc1ccc(C)cc1,3.753,4.0091095
1708,CCOP(=S)(CC)Sc1ccc(C(C)(C)C)cc1,3.331,3.8097925
1709,CCOP(=S)(CC)Sc1ccc(Cl)c(C)c1,3.67,3.6072416
1710,CCOP(=S)(CC)Sc1ccc(Cl)cc1,4.939,4.5849285
1711,CCOP(=S)(CC)Sc1ccccc1,4.914,4.6361012
1712,CCOP(=S)(CC)Sc1ccccc1C,3.782,4.2024946
1713,CCOP(=S)(CC)SCN1C(=O)c2ccccc2C1=O,4.372,4.7829337
1714,CCOP(=S)(CC)SCOc1ccc(Cl)cc1Cl,3.489,3.7185671
1715,CCOP(=S)(CC)SCSc1ccc(Cl)cc1,4.284,5.185787
1716,CCOP(=S)(CC)SCSCSP(=S)(CC)OCC,5.239,5.270996
1717,CCOP(=S)(CCl)Oc1ccc([N+](=O)[O-])cc1,3.367,4.277359
1718,CCOP(=S)(CCl)Oc1ccc(C#N)cc1OC,3.634,3.1586332
1719,CCOP(=S)(CCl)Sc1ccc(C)cc1,2.922,3.5528371
1720,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,4.091,2.8047025
1721,CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],2.92,3.7661076
1722,CCOP(=S)(NC)Oc1ccc(SC)c(C)c1,4.765,4.5252995
1723,CCOP(=S)(OC(C)C)ON1C(=O)c2ccccc2C1=O,3.12,3.8876617
1724,CCOP(=S)(OC(C)C)Sc1nc(C)cc(C)n1,3.654,3.5759075
1725,CCOP(=S)(OC(C)C)SCN1C(=O)c2ccccc2C1=O,3.857,3.900034
1726,CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,3.029,4.9669147
1727,CCOP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,3.821,4.343138
1728,CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,4.027,4.357372
1729,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,4.665,4.2238574
1730,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,3.759,4.7151275
1731,CCOP(=S)(N=C1SCCS1)OCC,4.287,4.198326
1732,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,1.783,3.4477408
